job_title,company_name,company_location,job_nature,job_skills
Financial Analyst,Shehab Mazhar -,"Mohandessin, Giza, Egypt ",Full Time,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Accounting · Analysis · Commerce · Corporate Finance · Economics · Finance · Financial Forecasting
Network & Security Senior Analyst,Confidential -,"Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Engineering - Telecom/Technology · Engineering · Networking
Junior Planning and Budgeting Specialist,Tamweely -,"Shubra, Cairo, Egypt ",Full Time,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Budgeting · Data Analysis · Finance · Planning · Microsoft Office · MS Office
Chief Financial Officer - Real estate,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Senior Management · 15 - 20 Yrs of Exp · Accounting/Finance · Accounting · CFO · CMA · Data Analysis · Finance · Financial Analysis · Financial · Financial Management · Management
Research Assistant,Söderhub -,"San Stefano, Alexandria, Egypt ",Full Time,Entry Level · 2 - 4 Yrs of Exp · Administration · Analyst/Research · Administration · Analysis · business · Data Analysis · English · market · Market Research · Marketing
Data Scientist,Confidential -,"Giza, Egypt ",Work From Home,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · data scientist · Engineering · Data · Information Technology (IT) · Python
Senior Data Scientist,Confidential -,"New Nozha, Cairo, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · R&D/Science · Business Development · Analyst/Research · Analysis · Data Science · Information Technology (IT) · Engineering · Computer Science · Software Engineering · Software Development
CFO,Confidential -,"Abu Rawash, Giza, Egypt ",Full Time,Manager · 10 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · C-Level Executive/GM/Director · Accounting · Corporate · Data Analysis · Finance · Financial · Financial Analysis · Financial Management
Material Planner,Happy Vision -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 4 - 10 Yrs of Exp · Logistics/Supply Chain · Analyst/Research · Purchasing/Procurement · Analytical Skills · Communication skills · Microsoft Office · Material Planning · Supply Chain · Supply · Data Analysis
Data Researcher Specialists,Dealtio -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level · 1 - 2 Yrs of Exp · Analyst/Research · E-Marketing · Market Research · English · Social Media · Training
Senior Officer - Product Support,Almosafer -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 2+ Yrs of Exp · Business Development · Analyst/Research · Tourism/Travel · Data Management · excel · Power BI · Microsoft Office · Analysis · Strategic Thinking · Critical Thinking
Workforce Supervisor,Safa International Travel -,"Dokki, Giza, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · males_only · Customer Service/Support · Operations/Management · Analyst/Research · Customer Support · Analysis · Data Analysis · workforce · Work Planning · Forecasting · Manpower Planning
Head of Equity Research,Tycoon Securities -,"Heliopolis, Cairo, Egypt ",Full Time,Manager · 4+ Yrs of Exp · Accounting/Finance · Analyst/Research · equity · Economics · Equity Research · Finance · Market Research · MBA · CFA · Research
Statistician,Nile University -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Statistics · Research · Analysis
Pre Sales Engineer,United Delta Systems -,"Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Communication · Engineering · English · Software · Software Development · Software Engineering
PM Web Consultant,HSE Contractors for CPM Scheduling Consultants -,"Dokki, Giza, Egypt ",Part Time,Experienced · 2 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Other · Communication skills · Computer Science · CSS3 · Development · Git · Implementation · Engineering
Workforce Management Specialist,Centro CDX -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · RTM · BI · Forcasting · Management · Problem Solving · Skills · Microsoft Office
Tax Accountant,EGYGAB Developments -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Banking · Accounting · Accounting Software · Bookkeeping · Finance · excel · Tax · tax accountant
Cost Accountant,Falcon For Industry And Import -,"Sharqia, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · accountant · excel · Finance · Financial Analysis
Market Researcher - English language Speaker,Infotech -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Customer Service/Support · Analyst/Research · Communication · Communication skills · Research · English · Computer Skills · Customer Service · Customer Care · Customer Support
Medical Specialist (Research) - Alexandria,Caduceus Lane -,"Alexandria, Egypt ",Full Time,Experienced · 3+ Yrs of Exp · Medical/Healthcare · Analyst/Research · Pharmaceutical · Research · Education · Writing · Pharmacy · Analysis · Biomedical Sciences · Clinical Research
Agriculture R&D Specialist,Confidential -,"Obour City, Cairo, Egypt ",Full Time,Experienced · 0 - 4 Yrs of Exp · R&D/Science · Analyst/Research · Analysis · Computer Skills · Design · English · Pharmacy · R&amp;D · Research · Science
Full Stack Developer ( +5 Years ),Contellect -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Design · Development · DevOps · Engineering · Information Technology (IT) · Java
Mean Stack Developer ( +5 Years ),Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Design · Development · DevOps · Engineering · Information Technology (IT) · Java
Chief Technology Officer - CTO - ( American Company Remotely ),AZLink Logistics Solutions Corp -,"Dallas, United States ",Full Time,Senior Management · 10+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Full Stack · Information Technology (IT) · Java · JavaScript · jQuery · Software Development
Full Stack Developer ( PHP - Python ),Amriya Pharmaceutical Industries -,"Ameria, Alexandria, Egypt ",Full Time,Senior Management · 2 - 3 Yrs of Exp · IT/Software Development · Computer Engineering · Information Technology (IT) · Python · PHP
Cost Accountant,Sinai University -,"Katameya, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Cost Accountant · Budget Control · Budgeting · analytical · Accounting Software · Cost · Microsoft Excel
Performance Marketing Specialist,Happy Vision -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 3 - 8 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · business · Communication skills · Marketing · Microsoft Office · Social Media · Ecommerce · Advertising Media
Software Developer (.Net),BI-Technologies -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Web Development · Dynamics · Microsoft Dynamics · AX · X++ · ASP.NET · .NET
Senior Full Stack .Net/Angular Developer,Three Pillars Digitalization Company -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Angular · .Net · .Net Development · Agile · API · OOP · Computer Science · SQL
Chief Financial Officer,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Senior Management · 15 - 20 Yrs of Exp · males_only · Accounting/Finance · Accounting · CFO · Finance · Financial Analysis · Financial Management
"Full Stack Developer (.NET core , Angular 8+)",Confidential -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · OOP · ASP.NET · C#.Net · ADO.NET · SQL
Senior Internal Auditor,Egypt Gold  -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Auditing · Internal Auditing · Finance · Accounting · Financial Analysis · Microsoft Office · English
Backend Developer -Alexandria,Caduceus Lane -,"Alexandria, Egypt ",Full Time,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Software Engineering · Computer Science · PHP · javaScript · MySQL · Laravel
Foreign Purchasing Senior Specialist,Delta Pharma Egypt -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level · 3 - 5 Yrs of Exp · Medical/Healthcare · Pharmaceutical · Purchasing/Procurement · Purchasing · Logistics · Supply Chain · Pharmacy · Pharmaceutical · Medical · Medicine
Technical Support Engineer,Confidential -,"Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Technical Support · Design · WAN · DNS · Configuration · Information Technology (IT) · LAN
Market Research Specialist,Paste and Juice -,"Alsadat City, Monufya, Egypt ",Full Time,Entry Level · 2 - 3 Yrs of Exp · Analyst/Research · Market Research · research skills
Market Researcher,Charisma Design -,"Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Analytics · business · Data Collection · E-Marketing · Market Research · Research · Web Analytics · Analysis · Social Media
Fellowship Experience Associate,The Room -,"Cairo, Egypt ",Full Time,Experienced · 2+ Yrs of Exp · Other · Project/Program Management · Analyst/Research · Customer Experience · Community Engagement · Customer Support · Customer Care · Project Management
Cost Accountant(Manufacturing),Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Operations/Management · Manufacturing/Production · Cost Accounting · Accounting · Finance · Financial Analysis · GAAP · Accounting Software
Internal Audit Officer,Aman Holding -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Certified Internal Auditor (CIA) · Auditing · Certified Internal Auditor · CRM · Audit · auditor · CIA
Social Media Specialist,Passionelle -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 0 - 2 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · E-Marketing · media · Social Media · Marketing · digital media · Online Marketing · Writing
SOC Team Leader,Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · Banking · IT/Software Development · Engineering - Telecom/Technology · Communication · SIEM · Security · Linux · Management · Information Technology (IT) · Documentation
Budgeting & Costing Manager,Confidential -,"Heliopolis, Cairo, Egypt ",Full Time,Manager · 7 - 15 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · Accounting · CPA · Finance · ERP System · Financial Analysis · MBA · Financial Reporting
ERP Technical Support (Motakamel),Al-Rowad for Plastic Pipes -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Information technology · Computer Science · Engineering · Technical Support
ERP Finance Functional Consultant,Seoudi Supermarket -,"6th of October, Giza, Egypt ",Full Time,Manager · 5 - 7 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · ERP · Finance · Financial Analysis · ERP Implementation · ERP Consultanting · Configuration · Software Installation
"process excellence executive, washing plant",Alex Apparels for Garment Manufacturing -,"Ameria, Alexandria, Egypt ",Full Time,Experienced · 3 - 6 Yrs of Exp · Operations/Management · Manufacturing/Production · Analyst/Research · washing · laundry · 5S Lean Manufacturing Methodology · SQDCM · pareto charts · fishbone diagram · Microsoft Office
Full Stack Developer,The Egyptian Microfinance Company- Maksab -,"Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Angular · HTML · Java · JavaScript · jQuery · Software Development · Information Technology (IT) · CSS
Senior Full Stack Developer (.NET & Angular),FlairsTech -,"Cairo, Egypt ",Full Time,Experienced · 4 - 7 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · .Net · Angular · ASP.Net · Computer Science · CSS · Git · HTML
Finished Product & Validation lab Manager,APEX Pharma -,"Badr City, Cairo, Egypt ",Full Time,Manager · 12 - 15 Yrs of Exp · Quality · Pharmaceutical · Pharmaceutical · QC · cleaning validation
Senior Full Stack Developer,3S Software -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · MySQL · Angular · Computer Science · CSS · .Net · HTML · HTML5
Senior AI & Machine learning Engineer,intella -,"Dokki, Giza, Egypt ",Full Time,Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · NLP · SQL · Machine Learning · Python · Algorithms
Financial Reports Accountant,Confidential -,"Obour City, Cairo, Egypt ",Full Time,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Finance · Financial Analysis · Financial Reporting · Reporting
MERN Stack Developer,Sequel Solutions -,"Cairo, Egypt ",Full Time,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · MERN · Software · React · Reactjs
Senior social media specialist,Media Sci -,"New Cairo, Cairo, Egypt ",Work From Home,Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Research · Computer Science · Economics · Database
Senior Full Stack Developer,Aria Systems -,"Maadi, Cairo, Egypt ",Full Time,Manager · 12 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Full Stack · CSS · Angular · HTML · Information Technology (IT) · Java · jQuery
E Commerce & Social Media Specialist,Vinchi Furniture -,"10th of Ramadan City, Cairo, Egypt ",Part Time,Experienced · 2 - 5 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Analyst/Research · Online Marketing · digital media · Social Media · Ecommerce · media · social · Marketing
Business Researcher,MENA INTEL -,"Nasr City, Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · Customer Service/Support · Project/Program Management · Analyst/Research · Market Research · sales skills · Call Center · Telemarketing · English · Marketing · Customer Support
Senior Accountant (English Fluency Is a MUST),3Sixty -,"Dokki, Giza, Egypt ",Full Time,Manager · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · CMA · English · Accounting Software · CPA · General Ledger · ACCA
Cost Accountant,Confidential -,"Badr City, Cairo, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · Accounting/Finance · accountant · Accounting · analytical · Cost Accountant · Cost Accounting · excel · Finance · Financial Analysis · MS
International Business Researcher,Confidential -,"Mohandessin, Giza, Egypt ",Work From Home,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Communication skills · Presentation · Market Research · negotiation skills · Online Research
Cost Control Engineer,Al Qamzi Group Egypt -,"Sheraton, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Quality · Civil · Civil Engineering · Engineering · Quality Assurance · Quality Control
Promotion Category Manager,Confidential -,"Giza, Egypt ",Full Time,Manager · 10 - 12 Yrs of Exp · Operations/Management · Sales/Retail · Sales · Sales Target · Sales Field · Sales Management · Sales Skills
Internal Auditor,TEPCO S.A.E. -,"6th of October, Giza, Egypt ",Full Time,Experienced · 4 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Financial Analysis · Internal auditor · analytical · Auditing · Auditing standards · auditor · Certified Internal Auditor
Full Stack PHP Developer,Details Digital -,"Downtown, Cairo, Egypt ",Full Time,Experienced · 3 - 15 Yrs of Exp · IT/Software Development · PHP · PHP Laravel · Laravel · React.js · React Native · React js · Full Stack Development
BI Developer,IDH -,"6th of October, Giza, Egypt ",Full Time,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · BI · Analysis · Computer Science · Database · Oracle · Power BI · SQL · SSRS
Finance - Tax Manager,Almosafer -,"Mohandessin, Giza, Egypt ",Full Time,Manager · 5 - 7 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · Accounting · analytical · Bookkeeping · excel · Finance · Financial Analysis · Financial Management
Senior Software Engineer - Backend (PHP/Laravel),Details Digital -,"Downtown, Cairo, Egypt ",Full Time,Experienced · 4 - 15 Yrs of Exp · IT/Software Development · PHP · laravel developer · PHP Laravel · PHP (Laravel) · Laravel · Computer Science
Cost Section Head,Prifix -,"Bourj Alarab, Alexandria, Egypt ",Full Time,Manager · 6 - 10 Yrs of Exp · Accounting/Finance · Engineering - Construction/Civil/Architecture · Operations/Management · Accounting · business · Communication · Engineering · Finance · Management · Mechanical Engineering
Cost Accountant,Wham Clinics  -,"Sidi Bishr, Alexandria, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · males_only · Accounting/Finance · accountant · Accounting · Accounting Software · analytical · Cost Accountant · Cost Accounting · Financial Analysis · Accounting Reports · Tax Accounting
SAP SuccessFactors Consultant,Elhazek Construction -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture · Human Resources · IT/Software Development · Computer Science · Information Technology (IT) · Communication skills · SAP · Software · Implementation · Project Management
Oracle SCM Track Lead,Dart Technology  -,"Cairo, Egypt ",Full Time,Manager · 7 - 12 Yrs of Exp · IT/Software Development · Information Technology (IT) · Oracle · ERP · Oracle SCM
Oracle Financial Consultant,Dart Technology  -,"Cairo, Egypt ",Full Time,Experienced · 2 - 6 Yrs of Exp · males_only · IT/Software Development · Oracle · ERP · Oracle Fusion · Oracle Financial
.NET core Developer,Aphrie -,"Maadi, Cairo, Egypt ",Work From Home,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · .Net · ASP · API · Mssql · OOP · Web API · .Net Core · Information Technology (IT) · Design Patterns
Internal Auditor,Sharm Dreams Group  -,"Manial, Cairo, Egypt ",Full Time,Experienced · 3 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Analyst/Research · analytical · Auditing · Auditing standards · Internal auditor · Financial Analysis · Finance
Full Stack Developer,appcorp -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · Full Stack · Information Technology (IT) · Java · React · Software Development · JavaScript
Financial Planning And Analysis Senior Manager,Confidential -,"Maadi, Cairo, Egypt ",Internship,Manager · 10 - 12 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Financial Analysis · Analysis · Finance · Financial Management · SAP · Microsoft Excel
Market Research Executive,Arma Non Food -,"Maadi, Cairo, Egypt ",Full Time,Entry Level · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Analysis · Marketing · Market Research · Business · Trade Marketing · Merchandising · Trade · Market Intelligence
Cost Accountant,Confidential -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Cost · Cost Accountant · ERP
Accounting Supervisor,Confidential -,"New Nozha, Cairo, Egypt ",Full Time,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Accounting · Accounting Software · Communication skills · excel · Computer Skills · Management · CPA
Cost Accountant,Confidential -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 4 - 5 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Analyst/Research · accountant · Accounting · Accounting Software · analytical · Cost Accountant · Cost · Cost Accounting
